description,amount,type,mode,category
UPI/DRCONSULTATION1964,191.0,DEBIT,NETBANKING,Healthcare
TRANSFER FROM SELF,5211.17,CREDIT,NEFT,Transfer
UPI/VICTORGANGULY7515/SPENCER'S,2710.12,DEBIT,UPI,Groceries
SALARY CREDIT TCS,137301.47,CREDIT,NEFT,Salary
UPI/POOJAVASA7290/GOAIR,19272.37,DEBIT,UPI,Travel
UPI/ZEE57909,2966.0,DEBIT,NEFT,Entertainment
NETBANKING BSNL,1703.65,DEBIT,NETBANKING,Bills
POS BHARAT PETROLEUM PATNA,5121.16,DEBIT,POS,Fuel
SALARY CREDIT TCS,47254.21,CREDIT,NEFT,Salary
POS AJIO JUNAGADH,26678.17,DEBIT,POS,Shopping
UPI/YMEMON5534/RELIANCE FRESH,2178.83,DEBIT,UPI,Groceries
PVR CINEMAS PAYMENT 6028,1173.0,DEBIT,ECS,Entertainment
UPI/HIRALSATHE7126/RELIANCE FRESH,2324.69,DEBIT,UPI,Groceries
POS AMAOZN NAGPUR,39038.94,DEBIT,POS,Shopping
POS AJIO SURYAPET,17569.82,DEBIT,POS,Shopping
TRANSFER FROM SELF,5956.33,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,22879.28,CREDIT,NEFT,Transfer
NETMEDS 3363,1835.0,DEBIT,NETBANKING,Healthcare
UPI/IRAMAHARAJ5979/SPENCER'S,2809.68,DEBIT,UPI,Groceries
POS CAFE COFFEE DAY LUDHIANA,37.81,DEBIT,POS,Food & Dining
SALARY CREDIT TCS,73892.1,CREDIT,NEFT,Salary
POS ZOMATO BUXAR,37.53,DEBIT,POS,Food & Dining
NEFT EMI LOAN,9533.49,DEBIT,NEFT,EMI
UPI/NAKSH777388/DMART,150.67,DEBIT,UPI,Groceries
SALARY CREDIT HCL,168900.33,CREDIT,NEFT,Salary
NETMEDS 3101,4868.0,DEBIT,NETBANKING,Healthcare
UPI/ZWARRIOR5452/FLIPKART,7285.86,DEBIT,UPI,Shopping
NEFT EMI SBI,6054.3,DEBIT,NEFT,EMI
UPI/FSACHAR5807/MISCELLANEOUS,1595.54,DEBIT,UPI,Other
TRANSFER FROM SELF,6517.56,CREDIT,NEFT,Transfer
UPI/ESAMI5710/SPENCER'S,2211.23,DEBIT,UPI,Groceries
UPI/ETHAN956072/UPI TRANSFER,25926.98,DEBIT,UPI,Transfer
NEFT IMPS TRANSFER,212202.44,DEBIT,NEFT,Transfer
UPI/YOUTUBEPREMIUM1430,4071.0,DEBIT,ECS,Entertainment
UPI/DVYAS6590/MORE SUPERMARKET,1700.6,DEBIT,UPI,Groceries
UPI/BHARGAVAMEGHANA7049/JIO,3119.88,DEBIT,UPI,Bills
UPI/GROWWSIP8504,693.0,DEBIT,NEFT,Investments
POS DMART BIJAPUR,1704.01,DEBIT,POS,Groceries
POS DMART GANGTOK,1684.0,DEBIT,POS,Groceries
UPI/OESHIBRAR1735/MCDONALDS,1154.15,DEBIT,UPI,Food & Dining
POS GOAIR DEHRADUN,7652.45,DEBIT,POS,Travel
UPI/CHATRESHSEHGAL7437/IMPS TRANSFER,109935.02,CREDIT,UPI,Transfer
UPI/DRCONSULTATION7258,2181.0,DEBIT,NETBANKING,Healthcare
UPI/SIMON31625/NEFT TRANSFER,33811.73,DEBIT,UPI,Transfer
UPI/HENRYSEN4537/ELECTRICITY BOARD,1639.82,DEBIT,UPI,Bills
NETBANKING UBER,16281.65,DEBIT,NETBANKING,Travel
POS SPENCER'S VARANASI,2949.27,DEBIT,POS,Groceries
RENT PAYMENT APARTMENT RENT,13766.72,DEBIT,NEFT,Rent
SALARY CREDIT WIPRO,146353.75,CREDIT,NEFT,Salary
UPI/NARULACHRISTOPHER1188/AJIO,1792.25,DEBIT,UPI,Shopping
POS OLA KARAIKUDI,10186.21,DEBIT,POS,Travel
UPI/FSOM2383/ZOMATO,1525.41,DEBIT,UPI,Food & Dining
POS DMART PIMPRI-CHINCHWAD,1156.69,DEBIT,POS,Groceries
UPI/NADKARNIHRITIK8287/UPI TRANSFER,72737.96,DEBIT,UPI,Transfer
UPI/MANIPALHOSPITAL6947,610.0,DEBIT,ECS,Healthcare
TRANSFER FROM SELF,15427.26,CREDIT,NEFT,Transfer
UPI/DIVYA754316/UBER,9381.21,DEBIT,UPI,Travel
UPI/OSRIDHAR2541/ZOMATO,1976.46,DEBIT,UPI,Food & Dining
UPI/ZMADAN2388/MCDONALDS,1581.39,DEBIT,UPI,Food & Dining
ZERODHA 7640,2068.0,DEBIT,UPI,Investments
SALARY CREDIT COMPANY PAYROLL,73047.72,CREDIT,NEFT,Salary
NEFT UPI TRANSFER,89396.66,DEBIT,NEFT,Transfer
POS HP PETROL PUMP NANDED,2119.89,DEBIT,POS,Fuel
NEFT NEFT TRANSFER,54382.32,CREDIT,NEFT,Transfer
POS MEDPLUS PHARMACY 6298,3547.0,DEBIT,NETBANKING,Healthcare
BSNL ID,3621.31,DEBIT,ECS,Bills
UPI/HDFCMUTUALFUND9367,4400.0,DEBIT,NEFT,Investments
AIRTEL ITAQUE,7914.64,DEBIT,ECS,Bills
POS HP PETROL PUMP VASAI-VIRAR,4108.47,DEBIT,POS,Fuel
POS MCDONALDS KHAMMAM,565.45,DEBIT,POS,Food & Dining
MANIPAL HOSPITAL 7122,1860.0,DEBIT,ECS,Healthcare
SIP DEBIT 3729,1211.0,DEBIT,NEFT,Investments
UPI/SUDIKSHAKALA9154/SPENCER'S,1698.69,DEBIT,UPI,Groceries
INOX MOVIES 6688,2274.0,DEBIT,ECS,Entertainment
SALARY CREDIT HCL,132383.34,CREDIT,NEFT,Salary
SALARY CREDIT INFOSYS,129593.85,CREDIT,NEFT,Salary
NETBANKING BIGBASKET,161.88,DEBIT,NETBANKING,Groceries
POS MYNTRA TINSUKIA,31902.65,DEBIT,POS,Shopping
POS GROWW SIP 1166,3163.0,DEBIT,ECS,Investments
CIPLA MED 8694,3712.0,DEBIT,NEFT,Healthcare
TRANSFER FROM SELF,111001.11,CREDIT,NEFT,Transfer
NEFT IMPS TRANSFER,84293.88,DEBIT,NEFT,Transfer
UPI/INOXMOVIES4797,3667.0,DEBIT,UPI,Entertainment
TRANSFER FROM SELF,3734.43,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,10375.07,CREDIT,NEFT,Transfer
EMI HDFC IPSUM,16864.66,DEBIT,ECS,EMI
UPIR/VALA8115/MCDONALDS,1086.01,DEBIT,UPI,Food & Dining
UPI/IKARI3975/CAFE COFFEE DAY,126.77,DEBIT,UPI,Food & Dining
POS OLA SHIMOGA,10061.15,DEBIT,POS,Travel
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,6468.8,DEBIT,ATM,Cash
TRANSFER FROM SELF,41285.74,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,179456.9,CREDIT,NEFT,Transfer
UPI/RDAVE7862/NEFT TRANSFER,44400.76,CREDIT,UPI,Transfer
UPI/BIMALA561926/AJIO,37998.36,DEBIT,UPI,Shopping
TRANSFER FROM SELF,6619.27,CREDIT,NEFT,Transfer
POS AMAZON BHAVNAGAR,36396.53,DEBIT,POS,Shopping
UPI/ADVAITH375190/NEFT TRANSFER,144967.76,DEBIT,UPI,Transfer
NEFT EMI HDFC,6912.05,DEBIT,NEFT,EMI
UPI/YPATLA9101/DMART,334.92,DEBIT,UPI,Groceries
NEFT HOUSE RENT,13590.13,DEBIT,NEFT,Rent
POS AJIO ICHALKARANJI,32539.88,DEBIT,POS,Shopping
UPI/VINAYA626347/DMART,55.29,DEBIT,UPI,Groceries
TRANSFER FROM SELF,50069.31,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,138255.78,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,2432.59,CREDIT,NEFT,Transfer
UPI/ACHAUHAN1179/AIRTEL,3240.81,DEBIT,UPI,Bills
POS MYNTRA SILIGURI,39534.1,DEBIT,POS,Shopping
UPI/MUKHERJEEYAHVI9870/DOMINOS ERF:530228,859.5,DEBIT,UPI,Food & Dining
TRANSFER FROM SELF,21749.47,CREDIT,NEFT,Transfer
POS MYNTRA SILCHAR,47719.78,DEBIT,POS,Shopping
NEFT APARTMENT RENT,13680.03,DEBIT,NEFT,Rent
POS MCDONALDS BIDAR,1691.63,DEBIT,POS,Food & Dining
POS ZERODHA 7514,4361.0,DEBIT,UPI,Investments
EMI HDFC OPTIO,6980.08,DEBIT,ECS,EMI
SALARY CREDIT TCS,172584.63,CREDIT,NEFT,Salary
UPI/SUBRAMANIANBHAVIKA2768/SPENCER'S,696.69,DEBIT,UPI,Groceries
IMPS NEFT TRANSFER,81494.14,CREDIT,IMPS,Transfer
HUNGAMA 6192,2706.0,DEBIT,ECS,Entertainment
UPI/EKTA001916/UPI TRANSFER,144823.51,CREDIT,UPI,Transfer
UPI/OM329442/FLIPKART,18642.18,DEBIT,UPI,Shopping
NEFT IMPS TRANSFER,172901.09,DEBIT,NEFT,Transfer
UPI/HEMARAMACHANDRAN1701/AMAZON,33850.81,DEBIT,UPI,Shopping
IMPSN EFT TRANSFER,10218.4,DEBIT,IMPS,Transfer
APARTMENT RENT AT,27862.36,DEBIT,ECS,Rent
UPI/YKAR3112/FLIPKART,32600.92,DEBIT,UPI,Shopping
TRANSFER FROM SELF,119390.85,CREDIT,NEFT,Transfer
UPI/PAREKHGAYATHRI992/DOMINOS,1010.48,DEBIT,UPI,Food & Dining
NEFT ACCOMM RENT,29489.35,DEBIT,NEFT,Rent
UPI/KHURANAGABRIEL7619/IMPS TRANSFER,156957.43,DEBIT,UPI,Transfer
POS MCDONALDS KOTA,470.06,DEBIT,POS,Food & Dining
UPI/ASESHADRI9282/GOAIR,16038.11,DEBIT,UPI,Travel
UPI/AIIMS3415,4204.0,DEBIT,NEFT,Healthcare
SALARY CREDIT HCL,160849.93,CREDIT,NEFT,Salary
UPI/QKURUVILLA8541/MYNTRA,50184.73,DEBIT,UPI,Shopping
NEFT UPI TRANSFER,55316.12,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,44790.4,CREDIT,NEFT,Transfer
POS AJIO HARIDWAR,47263.05,DEBIT,POS,Shopping
POS APPLE MUSIC 1547,3702.0,DEBIT,NEFT,Entertainment
GROWW SIP 5803,366.0,DEBIT,UPI,Investments
UPI/WISHIKORPAL6768/FLIPKART,49385.62,DEBIT,UPI,Shopping
UPI/HMISRA4077/OLA,3061.68,DEBIT,UPI,Travel
SONY LIV PAYMENT 2660,477.0,DEBIT,UPI,Entertainment
TRANSFER FROM SELF,3172.78,CREDIT,NEFT,Transfer
NETBANKING MYNTRA,38255.48,DEBIT,NETBANKING,Shopping
UPI/NAGARAJANLUCKY9776/MCDONALDS,1586.1,DEBIT,UPI,Food & Dining
NEFT HOUSE RENT,23349.26,DEBIT,NEFT,Rent
UPI/KASHVI505255/MORE SUPERMARKET,2524.5,DEBIT,UPI,Groceries
GAANA MUSIC 4460,4484.0,DEBIT,NEFT,Entertainment
TRANSFER FROM SELF,8859.49,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,3698.56,CREDIT,NEFT,Transfer
IMPS NEFT TRANSFER,95302.96,DEBIT,IMPS,Transfer
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,5744.6,DEBIT,ATM,Cash
NEFT ACCOMM RENT,19723.49,DEBIT,NEFT,Rent
POS AMAZON SECUNDERABAD,31445.74,DEBIT,POS,Shopping
EMI LOAN AMET,7247.47,DEBIT,ECS,EMI
POS RELIANCE FRESH BAREILLY,1503.83,DEBIT,POS,Groceries
UPI/SAKSHAMSIBAL2459/RELIANCE FRESH,2598.29,DEBIT,UPI,Groceries
JIO DOLOR,4221.59,DEBIT,ECS,Bills
NETBANKING AJIO,36566.98,DEBIT,NETBANKING,Shopping
BESCOM ACCUSANTIUM,9625.44,DEBIT,ECS,Bills
UPI/AMENON3506/JIO,5415.52,DEBIT,UPI,Bills
UPI/JHALAK411975/RELIANCE FRESH,3259.91,DEBIT,UPI,Groceries
UPI/LCHADHA5555/ZOMATO,237.12,DEBIT,UPI,Food & Dining
UPI/TANVIAURORA9875/AMAZON,41207.59,DEBIT,UPI,Shopping
ZEE5 4008,2372.0,DEBIT,UPI,Entertainment
UPI/MANEYATAN9223/IMPS TRANSFER,91106.36,CREDIT,UPI,Transfer
UPI/NGOKHALE9144/NEFT TRANSFER,10884.2,DEBIT,UPI,Transfer
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,6305.1,DEBIT,ATM,Cash
TRANSFER FROM SELF,141725.7,CREDIT,NEFT,Transfer
POS AMAZON SURENDRANAGAR DUDHREJ,4323.79,DEBIT,POS,Shopping
UPI/AMRUTARAMAKRISHNAN4405/NEFT TRANSFER,60699.07,DEBIT,UPI,Transfer
NEFT EMI SBI,9392.03,DEBIT,NEFT,EMI
NETBANKING SPENCER'S,2689.73,DEBIT,NETBANKING,Groceries
UPI/CHAUDHARYVYANJANA7048/MYNTRA,24756.24,DEBIT,UPI,Shopping
UPI/TDOSHI2429/AJIO,8892.91,DEBIT,UPI,Shopping
UPI/DIPTAJANI3376/IMPS TRANSFER,133815.55,CREDIT,UPI,Transfer
POS AMAZON RANCHI,23849.12,DEBIT,POS,Shopping
POS AJIO CHENNAI,17227.2,DEBIT,POS,Shopping
UPI/NEELIMA381781/MORE SUPERMARKET,606.5,DEBIT,UPI,Groceries
TRANSFER FROM SELF,19056.51,CREDIT,NEFT,Transfer
UPI/CHARVI432375/IRCTC,4682.74,DEBIT,UPI,Travel
POS SONY LIV 4345,1943.0,DEBIT,NETBANKING,Entertainment
PHARMEASY PAYMENT 4451,4456.0,DEBIT,ECS,Healthcare
POS SONY LIV 2160,1687.0,DEBIT,ECS,Entertainment
TRANSFER FROM SELF,11372.07,CREDIT,NEFT,Transfer
EMI LOAN EXPLICABO,11506.98,DEBIT,ECS,EMI
TRANSFER FROM SELF,42794.03,CREDIT,NEFT,Transfer
UPI/SNEHA256461/AJIO,12983.75,DEBIT,UPI,Shopping
NETBANKING AIRTEL,8360.57,DEBIT,NETBANKING,Bills
UPI/AVNIKARNIK1819/SWIGGY,1434.16,DEBIT,UPI,Food & Dining
POS BHARAT PETROLEUM SOUTH DUMDUM,489.0,DEBIT,POS,Fuel
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,7384.5,DEBIT,ATM,Cash
HEALTHKART 8496,790.0,DEBIT,NEFT,Healthcare
IMPS UPI TRANSFER,67221.53,DEBIT,IMPS,Transfer
AXIS MF 7915,611.0,DEBIT,NEFT,Investments
UPI/YATINAHLUWALIA4969/DMART,2401.73,DEBIT,UPI,Groceries
ELECTRICITY BOARD BLANDITIIS,3568.69,DEBIT,ECS,Bills
POS HP PETROL PUMP JABALPUR,908.94,DEBIT,POS,Fuel
NETBANKING ELECTRICITY BOARD,249.19,DEBIT,NETBANKING,Bills
TRANSFER FROM SELF,17494.59,CREDIT,NEFT,Transfer
APPLE MUSIC 5951,4556.0,DEBIT,UPI,Entertainment
EMI LOAN LABORE,5741.09,DEBIT,ECS,EMI
TRANSFER FROM SELF,32712.14,CREDIT,NEFT,Transfer
POS BIGBASKET GUDIVADA,1576.02,DEBIT,POS,Groceries
SALARY CREDIT TCS,112272.58,CREDIT,NEFT,Salary
NEFT HOUSE RENT,29181.21,DEBIT,NEFT,Rent
TRANSFER FROM SELF,2319.65,CREDIT,NEFT,Transfer
UPI/FARAJDEOL4685/OLA,4600.22,DEBIT,UPI,Travel
NEFT NEFT TRANSFER,160920.14,DEBIT,NEFT,Transfer
POS AJIO JAMMU,35279.61,DEBIT,POS,Shopping
POS AJIO NAIHATI,12611.5,DEBIT,POS,Shopping
POS AJIO PHUSRO,40912.03,DEBIT,POS,Shopping
NETBANKING JIO,8481.31,DEBIT,NETBANKING,Bills
UPI/BALENDRALOKE9348/RELIANCE FRESH,1425.36,DEBIT,UPI,Groceries
UPI/ABEER3113/MORE SUPERMARKET,967.15,DEBIT,UPI,Groceries
NEFT EMI SBI,14503.95,DEBIT,NEFT,EMI
UPI/BALJIWAN35655/NEFT TRANSFER,70297.34,CREDIT,UPI,Transfer
SALARY CREDIT WIPRO,116237.35,CREDIT,NEFT,Salary
POS MORE SUPERMARKET SALEM,2795.75,DEBIT,POS,Groceries
UPI/INDALI307822/DMART,849.85,DEBIT,UPI,Groceries
TRANSFER FROM SELF,25056.61,CREDIT,NEFT,Transfer
THYROCARE PAYMENT 2940,3451.0,DEBIT,NETBANKING,Healthcare
BSNL OCCAECATI,3204.15,DEBIT,ECS,Bills
UPI/GALAFITAN7209/FLIPKART,34931.7,DEBIT,UPI,Shopping
POS AMAZON AMBALA,54646.28,DEBIT,POS,Shopping
UPI/HARSHILVARMA3538/SPENCER'S,2555.47,DEBIT,UPI,Groceries
POS INOX MOVIES 9538,4282.0,DEBIT,NEFT,Entertainment
NETBANKING RELIANCE FRESH,1432.15,DEBIT,NETBANKING,Groceries
UPI/YUTIKAMANDER2709/SWIGGY,305.37,DEBIT,UPI,Food & Dining
NETBANKING AIRTEL,2404.5,DEBIT,NETBANKING,Bills
POS UBER KAKINADA,4516.81,DEBIT,POS,Travel
UPI/CIPLAMED1981,1327.0,DEBIT,ECS,Healthcare
TRANSFER FROM SELF,6895.27,CREDIT,NEFT,Transfer
UPI/OKADE533/SPENCER'S,3131.19,DEBIT,UPI,Groceries
POS PHARMEASY 9501,3522.0,DEBIT,NETBANKING,Healthcare
UPI/ONARASIMHAN15/IMPS TRANSFER,101536.55,DEBIT,UPI,Transfer
UPI/RATTIADVIK1312/AJIO,47387.42,DEBIT,UPI,Shopping
TRANSFER FROM SELF,6857.12,CREDIT,NEFT,Transfer
NETBANKING VENDOR PAYMENT,5508.23,DEBIT,NETBANKING,Other
NEFT NEFT TRANSFER,78242.75,DEBIT,NEFT,Transfer
NETBANKING JIO,2459.58,DEBIT,NETBANKING,Bills
UPI/LICPREMIUM4746,2924.0,DEBIT,NETBANKING,Investments
TRANSFER FROM SELF,11342.53,CREDIT,NEFT,Transfer
SALARY CRED1T TCS,60474.86,CREDIT,NEFT,Salary
TRANSFER FROM SELF,4499.57,CREDIT,NEFT,Transfer
POS FLIPKART KARIMNAGAR,51295.09,DEBIT,POS,Shopping
UPI/LAKSHIT542854/IRCTC,5836.77,DEBIT,UPI,Travel
NEFT HOUSE RENT,18551.47,DEBIT,NEFT,Rent
UPI/DPARSA5837/UPI TRANSFER,16980.9,DEBIT,UPI,Transfer
UPI/CHARAN608830/SPENCER'S,1679.09,DEBIT,UPI,Groceries
TRANSFER FROM SELF,23874.58,CREDIT,NEFT,Transfer
UPI/DEVIKA745150/RELIANCE FRESH,1363.33,DEBIT,UPI,Groceries
UPI/FORTISHOSPITAL1813,3216.0,DEBIT,NETBANKING,Healthcare
UPI/ZAID742270/JIO,5516.51,DEBIT,UPI,Bills
ANGEL BROKING PAYMENT 4468,948.0,DEBIT,ECS,Investments
IMPS UPI TRANSFER,105862.86,CREDIT,IMPS,Transfer
UPI/TANEJACHANDRESH2446/BSNL,7192.32,DEBIT,UPI,Bills
INOX MOVIES PAYMENT 5277,1667.0,DEBIT,ECS,Entertainment
NEFT EMI LOAN,20748.23,DEBIT,NEFT,EMI
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,2891.26,DEBIT,ATM,Cash
TRANSFER FROM SELF,4575.15,CREDIT,NEFT,Transfer
UPI/VRINDAHAYRE2177/MCDONALDS,111.23,DEBIT,UPI,Food & Dining
UPI/RADHAPUROHIT6806/NEFT TRANSFER,13349.07,DEBIT,UPI,Transfer
PPF DEPOSIT 9334,4200.0,DEBIT,ECS,Investments
NEFT EMI HDFC,12473.15,DEBIT,NEFT,EMI
POS INDIANOIL BATHINDA,1140.15,DEBIT,POS,Fuel
SALARY CREDIT HCL,87051.69,CREDIT,NEFT,Salary
GAMING PURCHASE 4286,3223.0,DEBIT,NETBANKING,Entertainment
UPI/OISSAC6802/DMART,2511.75,DEBIT,UPI,Groceries
POS BHARAT PETROLEUM NIZAMABAD,4728.35,DEBIT,POS,Fuel
TRANSFER FROM SELF,6473.31,CREDIT,NEFT,Transfer
UPI/SONYLIV2793,2343.0,DEBIT,NEFT,Entertainment
POS CIPLA MED 3696,551.0,DEBIT,NETBANKING,Healthcare
UPI/BHAGATQUINCY7064/GOAIR,4912.77,DEBIT,UPI,Travel
NETBANKING AMAZON,8559.15,DEBIT,NETBANKING,Shopping
NETBANKING IRCTC,15975.01,DEBIT,NETBANKING,Travel
TRANSFER FROM SELF,6647.77,CREDIT,NEFT,Transfer
POS MYNTRA BHIWANI,51692.16,DEBIT,POS,Shopping
UPI/KANTWAIDA1055/SPENCER'S,2986.99,DEBIT,UPI,Groceries
NETBANKING RELIANCE FRESH,663.66,DEBIT,NETBANKING,Groceries
DISNEY PLUS PAYMENT 8110,396.0,DEBIT,NETBANKING,Entertainment
NEFT EMI LOAN,11836.68,DEBIT,NEFT,EMI
UPI/MUNSHIISHANI3016/BIGBASKET,2505.96,DEBIT,UPI,Groceries
POS AJIO MADURAI,13991.02,DEBIT,POS,Shopping
NETBANKING AIRTEL,1937.06,DEBIT,NETBANKING,Bills
POS SWIGGY BIHAR SHARIF,152.1,DEBIT,POS,Food & Dining
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,6334.17,DEBIT,ATM,Cash
NETBANKING INDIGO,867.21,DEBIT,NETBANKING,Travel
UPI/MEGHANA217639/NEFT TRANSFER,56116.68,DEBIT,UPI,Transfer
APARTMENT RENT UT,29075.64,DEBIT,ECS,Rent
NETBANKING ELECTRICITY BOARD,9907.89,DEBIT,NETBANKING,Bills
UPI/SOODAYUSHMAN5650/NEFT TRANSFER,2298.49,DEBIT,UPI,Transfer
FORTIS HOSPITAL 7755,3354.0,DEBIT,UPI,Healthcare
NEFT EMI HDFC,18325.16,DEBIT,NEFT,EMI
UPI/YKAUR4224/VENDOR PAYMENT,1761.23,DEBIT,UPI,Other
NETBANKING IRCTC,4573.64,DEBIT,NETBANKING,Travel
POS ZOMATO JODHPRU,31.59,DEBIT,POS,Food & Dining
TRANSFER FROM SELF,30141.5,CREDIT,NEFT,Transfer
POS AJIO RAMGARH,28963.45,DEBIT,POS,Shopping
SALARY CREDIT COMPANY PAYROLL,151137.51,CREDIT,CREDIT,Salary
UPI/RJOHAL6775/MYNTRA,14801.84,DEBIT,UPI,Shopping
EMI SBI ESSE,12814.49,DEBIT,ECS,EMI
POS GAMING PURCHASE 7721,395.0,DEBIT,UPI,Entertainment
SALARY CREDIT INFOSYS,87894.35,CREDIT,NEFT,Salary
UPI/ZKHATRI4898/DOMINOS,1683.0,DEBIT,UPI,Food & Dining
POS BHARAT PETROLEUM NAGAON,3168.35,DEBIT,POS,Fuel
UP1/DHARNICHOLAS9822/DMART,718.92,DEBIT,UPI,Groceries
UPI/MEDPLUSPHARMACY1003,4807.0,DEBIT,NETBANKING,Healthcare
POS UPSTOX 7356,3129.0,DEBIT,NETBANKING,Investments
SALARY CREDIT COMPANY PAYROLL,20419.11,CREDIT,CREDIT,Salary
UPIT/AKORINDER7913/BIGBASKET,2160.42,DEBIT,UPI,Groceries
SALARY CREDIT INFOSYS,188105.44,CREDIT,NEFT,Salary
SALARY CREDIT HCL,78201.98,CREDIT,NEFT,Salary
NEFT EMI SBI,14633.39,DEBIT,NEFT,EMI
POS AXIS MF 3356,1008.0,DEBIT,ECS,Investments
UPI/SONYLIV9625,3546.0,DEBIT,NEFT,Entertainment
ANGEL BROKING 4033,4991.0,DEBIT,NETBANKING,Investments
TRANSFER FROM SELF,12030.0,CREDIT,NEFT,Transfer
POS SWIGGY THOOTHUKUDI,1465.05,DEBIT,POS,Food & Dining
NETBANKING DOMINOS,722.04,DEBIT,NETBANKING,Food & Dining
UPI/VRINDASIDHU6476/GOAIR,7798.88,DEBIT,UPI,Travel
UPI/WAKEETAWAGLE4656/SWIGGY,890.51,DEBIT,UPI,Food & Dining
POS INDIANOIL ALWAR,4023.17,DEBIT,POS,Fuel
UPI/LOPATANK4831/CAFE COFFEE DAY,1823.88,DEBIT,UPI,Food & Dining
UPI/NIFTYETF7845,4346.0,DEBIT,NEFT,Investments
UPI/DDUGAR4926/ZOMATO,785.02,DEBIT,UPI,Food & Dining
EMI LOAN CUMQUE,10928.36,DEBIT,ECS,EMI
MAX HOSPITAL 9864,4528.0,DEBIT,NEFT,Healthcare
NETBANKING MORE SUPERMARKET,1004.56,DEBIT,NETBANKING,Groceries
UPI/CHAUDHURIFALAN925/SWIGGY,1585.7,DEBIT,UPI,Food & Dining
POS ZOMATO SAMBHAL,1752.83,DEBIT,POS,Food & Dining
UPI/ONVEER378357/MORE SUPERMARKET,2293.77,DEBIT,UPI,Groceries
NETBANKING FLIPKART,5432.04,DEBIT,NETBANKING,Shopping
NEFT HOUSE RENT,25324.62,DEBIT,NEFT,Rent
POS CAFE COFFEE DAY BALLY,932.19,DEBIT,POS,Food & Dining
UPI/HOTSTARSUBSCRIPTION1901,2614.0,DEBIT,UPI,Entertainment
UPI/HRITIK496979/DOMINOS,1661.08,DEBIT,UPI,Food & Dining
UPI/NATARAJANAMRUTA765/SPENCER'S,2429.38,DEBIT,UPI,Groceries
BSNL IURE,7796.84,DEBIT,ECS,Bills
UPI/VALAYASHVI2824/SPENCER'S,630.16,DEBIT,UPI,Groceries
UPI/BBHAKTA5760/FLIPKART,46414.06,DEBIT,UPI,Shopping
POS AJIO FATEHPUR,28477.49,DEBIT,POS,Shopping
SALARY CREDIT INFOSYS,138717.31,CREDIT,NEFT,Salary
POS ZOMATO PARBHANI,559.15,DEBIT,POS,Food & Dining
UPI/VIRKAARUSH8110/BIGBASKET,1599.71,DEBIT,UPI,Groceries
TRANSFER FROM SELF,19874.62,CREDIT,NEFT,Transfer
UPI/SACHDEVAEESHA8285/SWIGGY,1144.79,DEBIT,UPI,Food & Dining
NETBANKING BIGBASKET,2663.38,DEBIT,NETBANKING,Groceries
BSNL SINT,1528.03,DEBIT,ECS,Bills
POS MCDONALDS RAIPUR,1497.73,DEBIT,POS,Food & Dining
POS MCDONALDS KIRARI SULEMAN NAGAR,322.41,DEBIT,POS,Food & Dining
POS HP PETROL PUMP JHANSI,3905.82,DEBIT,POS,Fuel
UPI/UDANT635578/DMART,798.34,DEBIT,UPI,Groceries
UPI/MSOM1705/BIGBASKET,319.5,DEBIT,UPI,Groceries
HUNGAMA PAYMENT 9240,2954.0,DEBIT,ECS,Entertainment
NETBANKING ELECTRICITY BOARD,6848.77,DEBIT,NETBANKING,Bills
TRANSFER FROM SELF,37233.95,CREDIT,NEFT,Transfer
NETBANKING MYNTRA,11759.04,DEBIT,NETBANKING,Shopping
MAX HOSPITAL 6412,1253.0,DEBIT,ECS,Healthcare
UPI/ONAGARAJAN41/SWIGGY,1409.94,DEBIT,UPI,Food & Dining
AIRTEL TENETUR,8901.7,DEBIT,ECS,Bills
ZERODHA PAYMENT 1605,1704.0,DEBIT,UPI,Investments
POS MYNTRA GANGTOK,38867.51,DEBIT,POS,Shopping
UPI/MEGHACHAD3749/UPI TRANSFER,109051.34,DEBIT,UPI,Transfer
SALARY CREDIT INFOSYS,161224.0,CREDIT,NEFT,Salary
TRANSFER FROM SELF,2721.24,CREDIT,NEFT,Transfer
UPI/CHAMELIDAYAL6907/IMPS TRANSFER,123478.91,DEBIT,UPI,Transfer
NETBANKING RELIANCE FRESH,721.68,DEBIT,NETBANKING,Groceries
POS 1MG MEDICINES 6789,1276.0,DEBIT,NEFT,Healthcare
POS MANIPAL HOSPITAL 1158,531.0,DEBIT,ECS,Healthcare
IMPS IMPS TRANSFER,77250.09,CREDIT,IMPS,Transfer
NETBANKING UBER,13362.69,DEBIT,NETBANKING,Travel
SALARY CREDIT TCS,212368.54,CREDIT,NEFT,Salary
